"community","total_members","total_casuals","total_classic","total_docked","total_riders","total_starts","total_ends","mid_latitude","mid_longitude"
"ALBANY PARK",14783,9749,7800,723,24532,5834,13,41.9653933957172,-87.7115796542274
"ARCHER HEIGHTS",1303,1495,0,0,2798,96,5,41.8036168905413,-87.7248155673993
"ARMOUR SQUARE",45444,25317,36965,3454,70761,11501,16,41.8457543181521,-87.6333708825773
"ASHBURN",242,142,0,0,384,5,15,41.745999875,-87.7041138166667
"AUBURN GRESHAM",1182,1426,824,61,2608,483,19,41.7428404285513,-87.6525412387926
"AUSTIN",5373,9052,3090,387,14425,2307,39,41.886483970861,-87.7617013418988
"AVALON PARK",672,957,728,84,1629,237,10,41.7448798645882,-87.5810536588007
"AVONDALE",23309,20920,13547,888,44229,9206,15,41.9389865255456,-87.7109298679338
"BELMONT CRAGIN",9246,10776,0,0,20022,276,10,41.9276342874615,-87.767835927972
"BEVERLY",1628,3011,879,125,4639,630,21,41.7120837558498,-87.6695348466738
"BRIDGEPORT",43007,16890,29950,1279,59897,11749,25,41.8373568051182,-87.6480780233144
"BRIGHTON PARK",2690,4081,0,0,6771,134,8,41.8133025147629,-87.6988788621573
"BURNSIDE",98,268,117,5,366,85,3,41.7286955864014,-87.5973368460447
"CALUMET HEIGHTS",370,640,470,65,1010,177,10,41.7323976939318,-87.5809522289832
"CHATHAM",3125,3909,2907,331,7034,1319,32,41.7428969019165,-87.6145648639838
"CHICAGO LAWN",1193,2454,0,0,3647,43,12,41.7758277263758,-87.6970779414727
"CLEARING",23,49,0,0,72,1,4,41.78,-87.758
"DOUGLAS",112816,30998,81313,4750,143814,27090,20,41.8361419715149,-87.6194108891285
"DUNNING",3597,5321,0,0,8918,114,13,41.9479761234016,-87.802841357336
"EAST GARFIELD PARK",4725,4802,2526,312,9527,2371,13,41.8835755970787,-87.7060508636742
"EAST SIDE",711,2234,1467,483,2945,270,16,41.702691220254,-87.53084078823
"EDGEWATER",109600,63894,79226,5114,173494,34264,23,41.9842528166725,-87.6623791950788
"EDISON PARK",14,11,0,0,25,0,4,42.005,-87.815
"ENGLEWOOD",3013,3545,2511,186,6558,1298,29,41.7769135021569,-87.6431737401874
"FOREST GLEN",157,62,0,0,219,1,8,41.9888888888889,-87.76
"FULLER PARK",1914,1782,1516,75,3696,787,8,41.8067936764871,-87.6335753603644
"GAGE PARK",3276,7226,2,0,10502,80,8,41.7931656485227,-87.6967704392727
"GARFIELD RIDGE",513,1459,0,0,1972,12,11,41.8008789904783,-87.752288851971
"GRAND BOULEVARD",10134,9007,8706,877,19141,3670,17,41.8113153467003,-87.6130011757917
"GREATER GRAND CROSSING",2157,3432,2456,202,5589,1148,24,41.7662069250045,-87.6146028038967
"HEGEWISCH",310,1299,796,131,1609,270,20,41.6611787308546,-87.5455871754305
"HERMOSA",5775,6928,1366,110,12703,842,4,41.9248591484539,-87.7284912867254
"HUMBOLDT PARK",16313,14294,4758,423,30607,3840,23,41.9024520379564,-87.7103635478634
"HYDE PARK",251745,90074,217515,6856,341819,40623,35,41.7948254839648,-87.5943209347537
"IRVING PARK",45647,33546,19527,1657,79193,13328,36,41.9545172023314,-87.7161205126648
"JEFFERSON PARK",319,269,0,0,588,1,6,41.9742857142857,-87.7685714285714
"KENWOOD",21274,11720,17263,1395,32994,6550,12,41.8079922581405,-87.5946249680964
"LAKE VIEW",744002,497079,642715,23524,1241081,232558,120,41.9444102819484,-87.6542350211776
"LINCOLN PARK",893360,645350,847219,42716,1538710,269262,116,41.9227704105549,-87.6456328295521
"LINCOLN SQUARE",117027,58359,71116,2836,175386,39478,38,41.9691101719603,-87.6836166040931
"LOGAN SQUARE",234840,174371,155139,8401,409211,84053,69,41.9211111686602,-87.6927816401134
"LOOP",734430,579052,688815,85605,1313482,250285,137,41.8800654649863,-87.6272339385136
"LOWER WEST SIDE",69406,43290,51126,2993,112696,26849,34,41.8559524517917,-87.6600925224219
"MCKINLEY PARK",5447,4269,3054,472,9716,2249,11,41.8280334226895,-87.6765466318652
"MONTCLARE",548,1211,0,0,1759,25,1,41.9308228000897,-87.7993284205897
"MORGAN PARK",1832,1950,756,180,3782,665,17,41.6916371676443,-87.6682192669442
"MOUNT GREENWOOD",240,1224,362,83,1464,141,11,41.693067182466,-87.7080491914372
"NEAR NORTH SIDE",1322481,859795,1125770,80414,2182276,412916,181,41.8969301882529,-87.6308881808234
"NEAR SOUTH SIDE",146422,165186,165824,27163,311608,54961,49,41.8619943064211,-87.6201710437732
"NEAR WEST SIDE",1001494,360774,692802,21062,1362268,288654,159,41.8780880457279,-87.6511371663601
"NEW CITY",5252,5891,3953,384,11143,2169,30,41.8077355402909,-87.6613810369338
"NORTH CENTER",93171,61380,62344,2629,154551,29659,26,41.9473047265092,-87.6809052459604
"NORTH LAWNDALE",5178,6054,2403,218,11232,1882,14,41.8607304253765,-87.7030217235047
"NORTH PARK",5951,4898,3319,384,10849,1929,14,41.9791755013819,-87.7112729915637
"NORWOOD PARK",23,21,0,0,44,0,10,41.985,-87.799
"OAKLAND",1657,1177,11,7,2834,89,5,41.8295042303004,-87.6069566988477
"OHARE",4,17,0,0,21,2,3,41.956,-87.856
"PORTAGE PARK",6253,7460,663,69,13713,655,12,41.9535602574203,-87.7502517530725
"PULLMAN",2173,1488,495,45,3661,531,15,41.7063487320655,-87.598407571916
"RIVERDALE",40,354,209,22,394,59,10,41.6572745715828,-87.6050501101063
"ROGERS PARK",63977,36749,44956,2852,100726,21706,37,42.0091792137243,-87.6687393571007
"ROSELAND",2861,3253,1743,185,6114,1273,31,41.7147126453225,-87.6186915046794
"SOUTH CHICAGO",1712,2000,1409,145,3712,451,20,41.7400844359639,-87.5529080223415
"SOUTH DEERING",628,1285,900,235,1913,264,29,41.7045173684776,-87.5676486713461
"SOUTH LAWNDALE",10381,10470,4138,382,20851,2876,33,41.8493192506217,-87.7021679525587
"SOUTH SHORE",5962,6062,5488,636,12024,1911,27,41.7628403954359,-87.5704619016655
"UPTOWN",232346,148319,183840,12275,380665,76678,46,41.9659621204229,-87.6549142143275
"WASHINGTON HEIGHTS",1467,1092,639,62,2559,408,14,41.7231864183694,-87.6464271633275
"WASHINGTON PARK",5356,3817,4322,349,9173,1325,12,41.7938467642904,-87.6157694653091
"WEST ELSDON",1663,2402,0,0,4065,7,3,41.7933444,-87.7243611
"WEST ENGLEWOOD",870,1671,828,114,2541,558,18,41.7802546882218,-87.6676573983885
"WEST GARFIELD PARK",1397,1617,749,68,3014,758,10,41.8796109725374,-87.7315675482704
"WEST LAWN",718,1885,0,0,2603,27,7,41.7764992412941,-87.7274054918627
"WEST PULLMAN",467,924,374,43,1391,220,16,41.6780936583819,-87.638421070463
"WEST RIDGE",19078,13228,10451,1054,32306,5889,23,42.0012296453104,-87.6886134730325
"WEST TOWN",542514,326094,366890,14061,868608,175890,116,41.9009719173282,-87.6725949291335
"WOODLAWN",59409,20958,53233,1553,80367,9910,33,41.7831765296725,-87.5984996454387
