"member_casual","started_at_wday","started_at_hour","mean_ride_duration_mins","median_ride_duration_mins","total_ride_durations_mins","na.rm","mean_ride_distance_m","median_ride_distance_m","total_ride_distance_m","total_rides"
"casual","Friday",0,34.1246494549627,9.817,178437.792,TRUE,1901.0058431071,1460.78,9887131.39,5229
"casual","Friday",1,38.9539964504679,10.517,120718.435,TRUE,1946.6696461039,1458.06,5995742.51,3099
"casual","Friday",2,44.6614190260476,10.7335,78872.0660000001,TRUE,2128.22794067313,1556.43,3730783.58,1766
"casual","Friday",3,36.7185018214937,10.8,40316.915,TRUE,2119.96746788991,1606.805,2310764.54,1098
"casual","Friday",4,29.4217888888889,9.8335,23831.649,TRUE,2178.41043532338,1600.395,1751441.99,810
"casual","Friday",5,29.3125191514437,8.333,49743.345,TRUE,2086.79869308102,1596.32,3528776.59,1697
"casual","Friday",6,23.9159242058332,9.917,128739.42,TRUE,2225.85487818486,1704.84,11968421.68,5383
"casual","Friday",7,19.0184109713397,9.3,146650.966999999,TRUE,2178.88894702675,1660.77,16781802.67,7711
"casual","Friday",8,20.4839037731872,9.425,194351.279,TRUE,2116.84664695946,1584.51,20050771.44,9488
"casual","Friday",9,28.0224014889944,11.017,259711.617,TRUE,2092.17034273976,1541.86,19350483.5,9268
"casual","Friday",10,30.4536550696696,13.45,347506.657999999,TRUE,2207.76746247696,1565.41,25153094.7,11411
"casual","Friday",11,30.0313645536012,14.283,452422.507,TRUE,2260.09743535199,1592.14,33998645.7200001,15065
"casual","Friday",12,30.9258844444444,14,584499.215999997,TRUE,2164.10667868696,1604.48,40808559.6400001,18900
"casual","Friday",13,27.2887406151852,14.133,547384.847999998,TRUE,2143.82814844413,1609.59,42921583.3599998,20059
"casual","Friday",14,32.275086127943,14.367,697755.087,TRUE,2175.10428889404,1622.67,46906123.9899998,21619
"casual","Friday",15,28.7516945133168,13.5585,718964.872999999,TRUE,2194.94438670356,1666.01,54739718.06,25006
"casual","Friday",16,31.6947520043142,13.117,881589.527000005,TRUE,2265.77935460609,1721.42,62841390.4000003,27815
"casual","Friday",17,24.9796330107842,12.9,766699.875999997,TRUE,2257.23905898097,1758.03,69155033.0499998,30693
"casual","Friday",18,28.2466557469642,12.667,800171.264000001,TRUE,2180.54340870488,1750.585,61622156.7300003,28328
"casual","Friday",19,31.5506469617818,12.333,688498.218000006,TRUE,2071.75885866569,1657.695,45089759.8000001,21822
"casual","Friday",20,28.6650510810469,11.983,453423.778000001,TRUE,1954.52045062746,1550.28,30838423.67,15818
"casual","Friday",21,30.671739661017,11.933,407167.344,TRUE,1969.90043379686,1561.75,26065722.5400001,13275
"casual","Friday",22,30.5995887625711,12.133,419887.557000001,TRUE,2112.64167385425,1652.42,28903050.7400001,13722
"casual","Friday",23,26.8247584559673,11.533,348158.539999999,TRUE,2121.64163279499,1666.94,27456164.37,12979
"casual","Monday",0,33.1970416874688,12.1,132987.349,TRUE,1887.80914264227,1454.64,7530470.67000001,4006
"casual","Monday",1,45.4192970615243,12.4585,98923.229,TRUE,1922.40020842983,1422.62,4150462.05,2178
"casual","Monday",2,67.4628192771084,12.0585,100789.452,TRUE,1978.67620853081,1393.35,2922504.75999999,1494
"casual","Monday",3,57.6425859813084,10.7915,61677.5669999999,TRUE,2129.25383962264,1589.895,2257009.07,1070
"casual","Monday",4,28.5507223382046,9.4085,27351.592,TRUE,2349.12250790306,1821.18,2229317.26,958
"casual","Monday",5,16.8905092869982,8.183,28190.26,TRUE,2137.59715486195,1609.21,3561236.86,1669
"casual","Monday",6,18.2648816366293,7.883,74995.6040000001,TRUE,2037.0544363104,1568.775,8347849.08000001,4106
"casual","Monday",7,19.1643932857143,8.617,134150.753,TRUE,2013.00310265942,1559.41,14078943.7,7000
"casual","Monday",8,18.7555358878092,9.367,169850.133,TRUE,2040.83874419633,1536.06,18461427.28,9056
"casual","Monday",9,25.4943863741875,11.867,219659.632999999,TRUE,2109.12166395349,1472.595,18138446.31,8616
"casual","Monday",10,35.3953319606926,14.383,378199.122,TRUE,2127.06567661411,1517.4,22666011.8500001,10685
"casual","Monday",11,32.2755846612821,15.45,443563.360000001,TRUE,2173.67155265461,1559.105,29805384.33,13743
"casual","Monday",12,35.2897966864757,15.45,587892.722999999,TRUE,2123.40284124406,1544.21,35297325.43,16659
"casual","Monday",13,33.3789463573139,15.567,585533.477000001,TRUE,2149.17110914286,1583.89,37610494.4100003,17542
"casual","Monday",14,34.0474722266265,15.083,644212.221999996,TRUE,2129.64166278084,1600.98,40190597.4599999,18921
"casual","Monday",15,32.4001076701821,14.733,675866.246000002,TRUE,2183.87798750601,1611.905,45446500.9199997,20860
"casual","Monday",16,28.5578493323051,13.383,703579.733999996,TRUE,2153.21469643366,1624.42,52949702.6000003,24637
"casual","Monday",17,26.747839799002,13.017,761190.024999992,TRUE,2181.73481017116,1660.83,61948178.2000002,28458
"casual","Monday",18,33.5988433170417,12.767,831806.56399999,TRUE,2066.67830248289,1623.11,51024220.6100001,24757
"casual","Monday",19,27.5494805561591,12.417,507241.035999998,TRUE,1952.665537298,1561.4,35888039.91,18412
"casual","Monday",20,28.3043405502932,12.233,376504.337999999,TRUE,1947.67807851707,1544.86,25847635.7800001,13302
"casual","Monday",21,26.764807648832,11.6,284135.197999998,TRUE,1998.71493009635,1610.26,21158396.25,10616
"casual","Monday",22,28.5776782988004,10.883,235851.579,TRUE,2021.95482431611,1584.74,16630578.4299999,8253
"casual","Monday",23,25.4873254426482,11.167,132432.143,TRUE,2056.78919513607,1577.65,10656224.82,5196
"casual","Saturday",0,28.146800053749,10.833,314202.729,TRUE,2006.1395693995,1593.955,22316296.5699999,11163
"casual","Saturday",1,46.3539941190038,10.867,401981.836999999,TRUE,2104.16752286144,1646.65,18177903.2299999,8672
"casual","Saturday",2,39.9447001226491,10.875,195409.473,TRUE,2161.75811254878,1650.76,10525600.25,4892
"casual","Saturday",3,36.4638902487169,11.183,92363.0340000001,TRUE,2206.74528384279,1748.63,5558791.37,2533
"casual","Saturday",4,67.8818671096346,10.55,81729.768,TRUE,2284.96000840336,1721.33,2719102.41,1204
"casual","Saturday",5,78.1066272098386,10.1,101616.722,TRUE,2112.95,1654.61,2721479.6,1301
"casual","Saturday",6,35.4347495840266,10.05,85185.138,TRUE,2118.46047221061,1644.07,5069475.91,2404
"casual","Saturday",7,33.8480837427423,11.05,151571.719,TRUE,2175.64214605735,1671.31,9712066.53999997,4478
"casual","Saturday",8,22.8558878378378,11.95,202960.284,TRUE,2260.43241799121,1693.42,20052295.9799999,8880
"casual","Saturday",9,27.7258222265778,13.333,424371.434999999,TRUE,2324.54197774869,1735.965,35519001.4200002,15306
"casual","Saturday",10,33.2767068127054,15.333,759540.832999999,TRUE,2403.71529052927,1814.6,54771056.6100002,22825
"casual","Saturday",11,32.6287798229732,16.833,973185.987000003,TRUE,2529.81270407307,1915.39,75340352.1400001,29826
"casual","Saturday",12,32.6201437839112,17.367,1106214.316,TRUE,2518.20186041704,1911.72,85261278.5900002,33912
"casual","Saturday",13,33.5550442457847,17.9415,1186103.70400001,TRUE,2481.1792026418,1896.02,87533521.0899994,35348
"casual","Saturday",14,35.4602926066682,17.85,1315612.31600001,TRUE,2464.97726420953,1877.82,91290432.9799998,37101
"casual","Saturday",15,36.0156015153858,17.333,1397477.37,TRUE,2417.19035402346,1849.075,93540432.3200004,38802
"casual","Saturday",16,31.3641159272297,16.783,1167152.846,TRUE,2370.39770755886,1824.24,87993903.6999999,37213
"casual","Saturday",17,32.2185624580549,15.767,1104162.354,TRUE,2293.53627051218,1788.96,78409124.4799999,34271
"casual","Saturday",18,30.0229757690823,14.717,932993.995000002,TRUE,2203.51563808848,1734.34,68289153.14,31076
"casual","Saturday",19,36.2735100142189,14,892872.448999997,TRUE,2049.48519590655,1617.17,50267723.4,24615
"casual","Saturday",20,39.382577071448,13.333,724836.331000002,TRUE,1932.02392942845,1524.87,35425590.77,18405
"casual","Saturday",21,38.7312309360529,13.583,660793.531000004,TRUE,2043.38739759887,1581.015,34721238.6600001,17061
"casual","Saturday",22,28.982977481854,13.083,507115.157000001,TRUE,2090.83282781951,1643.64,36466215.3500002,17497
"casual","Saturday",23,40.4992379483457,12.833,669573.901,TRUE,2174.86195471377,1713.62,35826500.98,16533
"casual","Sunday",0,37.5916940642509,12,530080.478000002,TRUE,2110.078501246,1674.42,29636052.5500001,14101
"casual","Sunday",1,37.0918432185374,11.583,348960.061,TRUE,2123.95645984622,1687.315,19888728.29,9408
"casual","Sunday",2,39.5028861596599,11.633,250882.83,TRUE,2183.07170175716,1686.77,13790463.94,6351
"casual","Sunday",3,48.7247753537736,11.167,165274.438,TRUE,2219.806485281,1711.15,7465209.21,3392
"casual","Sunday",4,32.2928521237546,10.667,61582.4689999999,TRUE,2426.53801901743,1848.13,4593436.47,1907
"casual","Sunday",5,46.127570768342,10.95,79846.8249999999,TRUE,2359.3692575406,1798.39,4067552.6,1731
"casual","Sunday",6,67.6578482320222,10.717,170294.804,TRUE,2167.40283546326,1624.79,5427176.70000001,2517
"casual","Sunday",7,35.620505260521,12.583,142197.057,TRUE,2276.91121417798,1691.81,9057552.80999998,3992
"casual","Sunday",8,33.1403423264042,13.117,224790.941999999,TRUE,2221.26990701107,1637.45,15049103.62,6783
"casual","Sunday",9,28.1225554231228,14.15,353922.359999999,TRUE,2328.89143800207,1734.3,29281152.05,12585
"casual","Sunday",10,32.2890549389002,15.4,634157.039,TRUE,2375.50730706411,1775.9,46540939.16,19640
"casual","Sunday",11,36.4061245192491,16.2,956061.235999995,TRUE,2407.19493837054,1841.07,63080543.36,26261
"casual","Sunday",12,34.3757773714134,17.2,1033920.256,TRUE,2443.04007232851,1861.415,73296088.2500006,30077
"casual","Sunday",13,36.4658966892065,17.683,1143278.793,TRUE,2361.03459590793,1804.465,73853162.1600011,31352
"casual","Sunday",14,34.5159629180069,17.733,1137439.04199999,TRUE,2354.36321414455,1791.06,77432651.7499993,32954
"casual","Sunday",15,37.2423595759014,17.267,1271565.88300001,TRUE,2323.6815941731,1795.74,79119034.599999,34143
"casual","Sunday",16,34.9226652757896,16.567,1146615.86900001,TRUE,2275.22947614393,1735.83,74486462.5899994,32833
"casual","Sunday",17,30.7163349025581,15.683,887364.198999995,TRUE,2188.32539005862,1684.47,63087232.6700003,28889
"casual","Sunday",18,35.4043433970186,14.733,843154.437999999,TRUE,2088.66392995454,1627.065,49618300.3200003,23815
"casual","Sunday",19,38.4909914978193,13.95,697187.328999998,TRUE,1946.20901534031,1495.03,35142696.1899998,18113
"casual","Sunday",20,30.3100300236226,13.317,397758.524000002,TRUE,1942.11074235474,1498.065,25402808.51,13123
"casual","Sunday",21,33.6364980967917,12.683,371145.12,TRUE,1945.96120429325,1531.93,21393897.48,11034
"casual","Sunday",22,30.4725731399748,12.2585,289977.006,TRUE,2048.31202869501,1582.06,19415949.7199999,9516
"casual","Sunday",23,45.0182077402847,12.65,281498.853,TRUE,2075.51257717042,1575.54,12909688.23,6253
"casual","Thursday",0,25.2805491120977,9.9915,91111.099,TRUE,1972.5363752784,1507.145,7085350.66000001,3604
"casual","Thursday",1,33.8534127659575,10.2,63644.4159999999,TRUE,2077.38436295503,1472.19,3880553.99,1880
"casual","Thursday",2,32.2622694717995,9.6,36036.955,TRUE,2005.72990990991,1420.355,2226360.2,1117
"casual","Thursday",3,59.5487625,10.1665,47639.01,TRUE,2291.97178616352,1767.39,1822117.57,800
"casual","Thursday",4,21.3895927536232,8.7915,14758.819,TRUE,2307.60460641399,1696.235,1583016.76,690
"casual","Thursday",5,14.4969248329621,7.917,26036.477,TRUE,2014.22452872281,1546.13,3611504.57999999,1796
"casual","Thursday",6,17.6249174115818,7.917,90697.8250000001,TRUE,2034.44811989101,1573.56,10452994.44,5146
"casual","Thursday",7,16.1651144628099,8.417,156478.308,TRUE,2065.67966490847,1580.91,19973056.6800001,9680
"casual","Thursday",8,17.1175928751116,8.95,210940.097000001,TRUE,2047.66593158365,1517.76,25200624.62,12323
"casual","Thursday",9,27.9652921577516,9.867,246765.738,TRUE,2033.94467415985,1468.88,17914984.69,8824
"casual","Thursday",10,31.2345444513846,12.067,300039.033999998,TRUE,2108.90595096505,1508.72,20213863.54,9606
"casual","Thursday",11,31.1098159415637,12.967,387566.086999999,TRUE,2108.82411968149,1520.06,26219010.2800001,12458
"casual","Thursday",12,29.5585188778878,12.4585,447811.561,TRUE,2063.75122916115,1519.43,31195663.5800001,15150
"casual","Thursday",13,31.024815601023,13.133,485228.116,TRUE,2076.15599974374,1536.94,32406719,15640
"casual","Thursday",14,28.8840857546171,13.717,491087.225999997,TRUE,2116.3105838685,1581.02,35920139.5400001,17002
"casual","Thursday",15,31.448553569675,12.833,640481.242000003,TRUE,2142.60112658726,1602.1,43533369.6899999,20366
"casual","Thursday",16,26.8639906477312,12.283,698007.068999998,TRUE,2211.32755803193,1662.605,57348568.8899999,25983
"casual","Thursday",17,25.552911626515,12.667,853850.542000002,TRUE,2289.44107575576,1795.74,76339123.23,33415
"casual","Thursday",18,24.3197708982432,12.6,733727.487999998,TRUE,2225.79464341472,1814.51,67007547.7400004,30170
"casual","Thursday",19,25.1878109553339,12.283,560529.545000001,TRUE,2097.18417424993,1694,46553294.3,22254
"casual","Thursday",20,25.1225060598715,11.867,414571.595000001,TRUE,2026.69161686103,1651.67,33367450.7800002,16502
"casual","Thursday",21,23.3035789135556,11.3,326459.837000001,TRUE,2104.00031971962,1695.55,29416028.4699999,14009
"casual","Thursday",22,23.9530805547136,10.967,316084.850999999,TRUE,2159.69283565079,1739.8,28423717.41,13196
"casual","Thursday",23,28.4081625531915,10.483,233657.136999999,TRUE,2065.55294196537,1630.44,16941665.2300001,8225
"casual","Tuesday",0,40.6551740991795,10.467,113956.453,TRUE,1890.20830879713,1432.49,5264230.14,2803
"casual","Tuesday",1,34.5917120596206,11.45,51057.3670000001,TRUE,1925.63880952381,1411.03,2830689.05,1476
"casual","Tuesday",2,34.1915388711395,10.7,32105.855,TRUE,2214.41349036403,1635.895,2068262.2,939
"casual","Tuesday",3,31.3732027863777,9.925,20267.089,TRUE,2214.19788401254,1591.08,1412658.25,646
"casual","Tuesday",4,42.8509053497943,8.733,31238.31,TRUE,2266.64251719395,1647.2,1647849.11,729
"casual","Tuesday",5,16.9725364693446,7.475,32112.039,TRUE,1980.32859565448,1531.71,3736880.06000001,1892
"casual","Tuesday",6,13.928090750774,7.8,71980.373,TRUE,1987.06924656208,1555.52,10259238.52,5168
"casual","Tuesday",7,13.5983531923758,8.2,130557.789000001,TRUE,1966.76036805338,1517.5,18863198.6899999,9601
"casual","Tuesday",8,20.0276686618213,8.917,234223.585,TRUE,1955.80662100848,1474.46,22845777.14,11695
"casual","Tuesday",9,22.7286634638197,9.783,191602.633,TRUE,1948.55202757309,1435.38,16395116.76,8430
"casual","Tuesday",10,36.05332203966,12.217,318170.567000001,TRUE,2106.79603183627,1472.53,18529271.1,8825
"casual","Tuesday",11,30.1276660989602,13.2,336104.243,TRUE,2057.85759518678,1482.28,22916302.18,11156
"casual","Tuesday",12,30.6077929971372,12.733,416969.964,TRUE,1970.97089155562,1463.13,26771697.6200001,13623
"casual","Tuesday",13,29.508471835932,12.9915,420141.621999999,TRUE,2061.18797242156,1521.645,29297725.8400001,14238
"casual","Tuesday",14,28.0719225304919,13.2415,418889.227999999,TRUE,2090.99809357589,1532.97,31149598.6000001,14922
"casual","Tuesday",15,26.1792696779218,12.417,470624.730999997,TRUE,2110.33806376101,1573.205,37863685.5400002,17977
"casual","Tuesday",16,26.5929645839576,12.1,620972.315999999,TRUE,2226.35944082053,1656.35,51878627.69,23351
"casual","Tuesday",17,23.1400321684408,12.2,691285.320999998,TRUE,2224.1655453875,1743.53,66351306.5499995,29874
"casual","Tuesday",18,25.0161177821906,12.1,642488.952999996,TRUE,2172.30473297939,1726.125,55645758.0400001,25683
"casual","Tuesday",19,27.8997826947106,11.95,535899.025999999,TRUE,2051.19591013464,1654.62,39305016.0299998,19208
"casual","Tuesday",20,29.2329262949667,11.583,399000.210999998,TRUE,2008.09822184652,1613.22,27318168.21,13649
"casual","Tuesday",21,27.271024929324,11,318334.674000002,TRUE,2074.74125687758,1706.785,24133390.3000001,11673
"casual","Tuesday",22,29.7295577706796,10.833,269914.655,TRUE,2163.28116548829,1712.64,19582021.11,9079
"casual","Tuesday",23,32.4758227178226,9.983,171829.578000001,TRUE,2008.03516691957,1534.48,10586361.4,5291
"casual","Wednesday",0,29.5693691440648,10.367,83947.439,TRUE,1934.97236479321,1480.76,5474036.82,2839
"casual","Wednesday",1,43.128735086594,10.533,67237.698,TRUE,1889.42700451904,1345.01,2926722.43,1559
"casual","Wednesday",2,81.9372429696288,10.783,72842.209,TRUE,2075.48142369021,1517.5,1822272.69,889
"casual","Wednesday",3,82.0343782467532,10.0085,50533.1769999999,TRUE,2140.98391162029,1539.67,1308141.17,616
"casual","Wednesday",4,67.7966308823529,9.483,46101.709,TRUE,2305.95617210682,1667.96,1554214.46,680
"casual","Wednesday",5,14.9676305797845,7.617,29171.9120000001,TRUE,1982.87294087404,1581.52,3856687.87000001,1949
"casual","Wednesday",6,17.0378265490275,8,84967.641,TRUE,1979.82633079085,1540.87,9863494.78000001,4987
"casual","Wednesday",7,19.2282611140584,8.383,181226.361,TRUE,1996.87669748167,1543.53,18792606.6,9425
"casual","Wednesday",8,16.4454805621004,8.567,195438.091,TRUE,1963.64241451912,1475.5,23316290.0300001,11884
"casual","Wednesday",9,21.8279871332371,9.7415,181521.541,TRUE,1938.96186995786,1438.09,16103078.3300001,8316
"casual","Wednesday",10,31.5151325874792,11.3,264790.144,TRUE,2064.27344066786,1495.46,17308932.8,8402
"casual","Wednesday",11,37.2367809680066,12.133,408524.724,TRUE,2001.80854191425,1466.86,21897783.64,10971
"casual","Wednesday",12,27.1392211442211,11.867,352457.064999998,TRUE,1971.14091940713,1451.195,25534159.4700001,12987
"casual","Wednesday",13,29.5506098169717,12.475,390718.163000001,TRUE,2033.84128640777,1528.31,26814163.5200001,13222
"casual","Wednesday",14,27.275085747314,12.733,401107.411,TRUE,2106.65026166951,1564.76,30915092.59,14706
"casual","Wednesday",15,29.9790744457674,12.433,528740.936,TRUE,2106.37847395034,1579.18,37074367.52,17637
"casual","Wednesday",16,22.287966627781,11.8,534955.774999999,TRUE,2992.20310590885,1652.295,71705155.2299992,24002
"casual","Wednesday",17,23.4845914183856,12.383,737791.924,TRUE,2266.38760242308,1786.4,71085247.1499994,31416
"casual","Wednesday",18,22.9556108789651,12.367,631761.366999995,TRUE,2178.67066453046,1761.08,59832832.46,27521
"casual","Wednesday",19,25.3342929862617,12.167,525559.908000001,TRUE,2081.20346620283,1687.87,43074668.14,20745
"casual","Wednesday",20,26.0225261837365,12.2,404494.146999997,TRUE,2064.0839615707,1667.97,32011878.1600002,15544
"casual","Wednesday",21,23.8787539010253,11.167,321360.270000001,TRUE,2117.1955283342,1724.44,28431818.75,13458
"casual","Wednesday",22,21.7385454288939,10.617,231124.214999999,TRUE,2120.86900555608,1702.45,22521507.97,10632
